IdBase;IdIlha;Nome;Tipo
1;50121;Ilha 1;T
1;50122;Ilha 2;T
1;50123;Ilha 3;T
1;50124;Ilha 4;T
1;50125;Ilha 5;T
1;50126;Ilha 6;B
1;50127;SKID_Alc1;D
1;50128;SKID_Alc2;D
1;50129;SKID_Die;D
1;501210;SKID_S10;D
1;501212;Ilha 10;T
1;501213;Ilha 9;T
1;501214;SKID_QAV;D
1;501215;Ilha 17;B
1;501216;Ilha 16;B
1;501217;Ilha 15;B
1;501218;Ilha 14;B
1;501219;Ilha 8;T
5;50161;PLECT-1;T
5;50162;PLECT-2;T
5;50163;PLECT-3;T
14;50251;Ilha-01;B
14;50252;Ilha-02;T
14;50253;Ilha-11;D
14;50254;Ilha-12;D
14;50255;Ilha-E25 e 26;T
14;50256;Ilha-E27 e 28;T
14;50258;Ilha-03;T
14;50259;Ilha-04;T
14;502510;Ilha-05;T
14;502511;Ilha-06;T
14;502512;Ilha-07;T
14;502513;Ilha-08;T
14;502514;Ilha-09;T
14;502515;Ilha-10;T
14;502516;Ilha-D B100;D
18;50291;Ilha 1;T
18;50292;Ilha 2;T
18;50293;Ilha 3;T
18;50294;Ilha 4;T
18;50295;Descarga 1;D
18;50296;Ilha 5;T
18;50297;Ilha 0;T
18;50298;Descarga 2;D
18;50299;Ilha OC;T
18;502910;Ilha 6;TB
29;50401;Ilha 3;T
29;50402;Ilha 4;T
29;50403;Ilha 5;T
29;50404;Ilha 6;T
29;50405;Ilha 7;T
29;50406;Ilha 8;T
29;50407;Ilha Escuros;T
29;50408;Ilha 20;D
29;50409;Ilha 21;D
29;504010;Ilha 22;D
29;504011;Ilha 23;D
48;50593;Ilha 6;T
48;50594;Ilha 7;T
48;50595;Ilha 8;T
48;50596;Ilha 9;T
48;50597;Ilha 10;T
48;50598;Ilha 11;B2
48;50599;Ilha 12;B
48;505910;Ilha 13;B
48;505911;Ilha 14a;B
48;505912;Ilha 14b;B
48;505913;Ilha 15a;B
48;505914;Ilha 15b;B
48;505915;Ilha 3;D
48;505916;Ilha 4;D
48;505917;Ilha 5;D
53;50641;Ilha 12;T
53;50642;Ilha 4;T
53;50643;Ilha 6;T
53;50644;Ilha 10;T
53;50645;Ilha 17;B
53;50646;Ilha 9;T
53;50647;Ilha 15;B
53;50648;Ilha 8;T
53;50649;Ilha 7;T
53;506410;Ilha 11;T
53;506411;Ilha 13;B
