IdBase;Data;IdIlha;TempoProducaoReal;TempoProducaoPlan;QuantProducaoReal;QuantProducaoPlan;QuantProducaoRuim;QuantProducaoBoa
1;2025-11-01;50121;26513;57600;383117;1740000;0;65
1;2025-11-01;501213;9483;57600;122347;870000;10;13
1;2025-11-01;501219;6319;57600;82999;870000;0;16
1;2025-11-01;50122;22583;57600;340031;1740000;0;58
1;2025-11-01;50123;25494;57600;444020;1740000;0;91
1;2025-11-01;50124;25462;57600;441043;1740000;0;91
1;2025-11-01;50125;29855;57600;463091;1740000;0;96
1;2025-11-01;50126;23201;57600;392061;3060000;0;78
1;2025-11-01;50127;21000;57600;480832;1740000;8;0
1;2025-11-01;50128;27300;57600;300375;870000;5;0
1;2025-11-03;50121;36095;57600;521125;1740000;1;96
1;2025-11-03;501213;4417;57600;60002;870000;0;12
1;2025-11-03;501214;-956820;57600;63221;1740000;1;0
1;2025-11-03;501215;1353;57600;62001;2040000;0;2
1;2025-11-03;501219;9473;57600;117989;870000;0;22
1;2025-11-03;50122;32047;57600;487712;1740000;0;101
1;2025-11-03;50123;39570;57600;643840;1740000;0;130
1;2025-11-03;50124;40942;57600;619127;1740000;0;123
1;2025-11-03;50125;32117;57600;521058;1740000;0;103
1;2025-11-03;50126;29837;57600;476040;3060000;0;79
1;2025-11-03;50127;33180;57600;1059877;1740000;15;2
1;2025-11-03;50128;21300;57600;514701;870000;7;1
1;2025-11-04;50121;35356;57600;507095;1740000;1;89
1;2025-11-04;501213;2396;57600;30003;870000;0;5
1;2025-11-04;501215;5204;57600;167005;2040000;0;8
1;2025-11-04;501219;6110;57600;77006;870000;0;15
1;2025-11-04;50122;25782;57600;393235;1740000;1;79
1;2025-11-04;50123;35929;57600;561035;1740000;0;101
1;2025-11-04;50124;34962;57600;554072;1740000;0;118
1;2025-11-04;50125;34036;57600;536095;1740000;0;97
1;2025-11-04;50126;25232;57600;426055;3060000;0;78
1;2025-11-04;50127;22860;57600;582357;1740000;9;2
1;2025-11-04;50128;12600;57600;287529;870000;3;2
1;2025-11-05;50121;30278;57600;458330;1740000;4;72
1;2025-11-05;501213;4218;57600;50109;870000;4;7
1;2025-11-05;501215;5472;57600;166049;2040000;0;9
1;2025-11-05;501216;4219;57600;90068;2040000;1;8
1;2025-11-05;501219;7479;57600;89005;870000;0;17
1;2025-11-05;50122;28385;57600;413164;1740000;1;89
1;2025-11-05;50123;27695;57600;439048;1740000;0;89
1;2025-11-05;50124;30920;57600;501096;1740000;0;100
1;2025-11-05;50125;25886;57600;377085;1740000;0;81
1;2025-11-05;50126;27217;57600;508178;3060000;1;89
1;2025-11-05;50127;76080;57600;465589;1740000;6;2
1;2025-11-05;50128;17220;57600;447904;870000;5;4
1;2025-11-06;50121;34869;57600;527670;1740000;1;82
1;2025-11-06;501213;5595;57600;75008;870000;0;12
1;2025-11-06;501215;5452;57600;173029;2040000;0;14
1;2025-11-06;501219;14471;57600;50532;870000;2;10
1;2025-11-06;50122;35071;57600;523147;1740000;0;108
1;2025-11-06;50123;30109;57600;461018;1740000;0;97
1;2025-11-06;50124;31344;57600;504092;1740000;0;106
1;2025-11-06;50125;35361;57600;576204;1740000;0;107
1;2025-11-06;50126;21996;57600;379055;3060000;0;77
1;2025-11-06;50127;23460;57600;601975;1740000;3;9
1;2025-11-06;50128;4620;57600;118109;870000;0;3
1;2025-11-07;50121;44653;57600;661626;1740000;0;116
1;2025-11-07;501213;3855;57600;50001;870000;0;9
1;2025-11-07;501215;5365;57600;173012;2040000;0;9
1;2025-11-07;501216;4217;57600;112010;2040000;0;3
1;2025-11-07;501219;14791;57600;174148;870000;0;36
1;2025-11-07;50122;37597;57600;574197;1740000;0;111
1;2025-11-07;50123;40427;57600;622036;1740000;0;126
1;2025-11-07;50124;41036;57600;666078;1740000;0;137
1;2025-11-07;50125;42476;57600;706058;1740000;0;134
1;2025-11-07;50126;32796;57600;624202;3060000;1;106
1;2025-11-07;50127;8400;57600;181486;1740000;0;4
1;2025-11-08;50121;23346;57600;344021;1740000;0;65
1;2025-11-08;501213;2306;57600;25418;870000;2;4
1;2025-11-08;501215;5496;57600;180023;2040000;0;12
1;2025-11-08;501216;4423;57600;112013;2040000;0;3
1;2025-11-08;501219;7710;57600;97011;870000;0;18
1;2025-11-08;50122;23526;57600;347525;1740000;0;69
1;2025-11-08;50123;25273;57600;410021;1740000;0;87
